layer,mean,std,model
4,0.585,0.11247221879201992,Original
8,0.52,0.09797958971132713,Original
12,0.5299999999999999,0.09924716620639602,Original
16,0.5449999999999999,0.08860022573334675,Original
20,0.505,0.08124038404635961,Original
24,0.51,0.05830951894845299,Original
28,0.51,0.06041522986797286,Original
32,0.6399999999999999,0.037416573867739444,Original
4,0.5850000000000001,0.12206555615733704,NPO+RT
8,0.5349999999999999,0.07516648189186455,NPO+RT
12,0.53,0.08426149773176361,NPO+RT
16,0.6,0.07071067811865477,NPO+RT
20,0.605,0.06403124237432846,NPO+RT
24,0.6199999999999999,0.06204836822995428,NPO+RT
28,0.655,0.0966953980290686,NPO+RT
32,0.835,0.0374165738677394,NPO+RT
